Name,Hersteller,Funktion
Service 102,Fraunhofer IPA,"Empfehlung,Assistenz,Ueberwachung"
Service 103,HAW,Generierung
Service 104,SOP,"Diagnose,Automatisierung,Optimierung"
Service 105,SOP,Automatisierung
Service 106,Fraunhofer IPA,Diagnose
Service 107,HAW,"Kommunikation,Empfehlung"
Service 108,SOP,Empfehlung
Service 109,SOP,"Generierung,Mustererkennung"
Service 110,HAW,"Assistenz,Mustererkennung,Automatisierung"
Service 111,SOP,"Optimierung,Assistenz,Diagnose"
Service 112,SOP,"Diagnose,Automatisierung,Mustererkennung"
Service 113,HAW,"Generierung,Ueberwachung"
Service 114,SOP,Optimierung
Service 115,SOP,"Automatisierung,Mustererkennung"
Service 116,Fraunhofer IPA,"Ueberwachung,Assistenz"
Service 117,SOP,Clustering
Service 118,Fraunhofer IPA,Optimierung
Service 119,SOP,"Clustering,Generierung"
Service 120,SOP,"Kommunikation,Ueberwachung,Mustererkennung"
Service 121,SOP,Kommunikation
Service 122,SOP,Diagnose
Service 123,SOP,"Optimierung,Sprachverarbeitung"
Service 124,HAW,"Empfehlung,Optimierung,Clustering"
Service 125,Fraunhofer IPA,"Assistenz,Mustererkennung,Clustering"
Service 126,Fraunhofer IPA,Analyse
Service 127,Fraunhofer IPA,"Automatisierung,Optimierung,Kommunikation"
Service 128,HAW,Mustererkennung
Service 129,HAW,"Empfehlung,Ueberwachung,Generierung"
Service 130,HAW,"Kommunikation,Sprachverarbeitung"
Service 131,HAW,"Optimierung,Diagnose,Assistenz"
Service 132,Fraunhofer IPA,"Assistenz,Clustering"
Service 133,Fraunhofer IPA,"Analyse,Kommunikation"
Service 134,Fraunhofer IPA,Analyse
Service 135,HAW,"Ueberwachung,Diagnose"
Service 136,HAW,Sprachverarbeitung
Service 137,SOP,"Empfehlung,Assistenz"
Service 138,SOP,"Empfehlung,Generierung"
Service 139,SOP,"Mustererkennung,Optimierung,Automatisierung"
Service 140,Fraunhofer IPA,"Kommunikation,Analyse"
Service 141,HAW,Mustererkennung
Service 142,Fraunhofer IPA,"Analyse,Sprachverarbeitung,Clustering"
Service 143,SOP,"Optimierung,Generierung"
Service 144,Fraunhofer IPA,"Sprachverarbeitung,Analyse"
Service 145,Fraunhofer IPA,Clustering
Service 146,HAW,"Kommunikation,Automatisierung"
Service 147,HAW,"Optimierung,Automatisierung,Kommunikation"
Service 148,HAW,Empfehlung
Service 149,SOP,"Generierung,Optimierung"
Service 150,Fraunhofer IPA,"Automatisierung,Mustererkennung"
Service 151,SOP,"Ueberwachung,Empfehlung,Automatisierung"
Service 152,SOP,"Automatisierung,Ueberwachung,Optimierung"
Service 153,Fraunhofer IPA,"Analyse,Mustererkennung,Assistenz"
Service 154,HAW,Empfehlung
Service 155,Fraunhofer IPA,Mustererkennung
Service 156,SOP,"Sprachverarbeitung,Automatisierung,Diagnose"
Service 157,HAW,Automatisierung
Service 158,Fraunhofer IPA,"Optimierung,Sprachverarbeitung"
Service 159,Fraunhofer IPA,"Mustererkennung,Kommunikation,Empfehlung"
Service 160,Fraunhofer IPA,"Automatisierung,Clustering"
Service 161,Fraunhofer IPA,"Empfehlung,Diagnose,Assistenz"
Service 162,SOP,"Diagnose,Empfehlung"
Service 163,SOP,Analyse
Service 164,SOP,"Diagnose,Sprachverarbeitung,Ueberwachung"
Service 165,HAW,"Mustererkennung,Clustering"
Service 166,HAW,"Diagnose,Kommunikation"
Service 167,SOP,"Clustering,Optimierung,Diagnose"
Service 168,HAW,"Clustering,Analyse,Automatisierung"
Service 169,Fraunhofer IPA,Kommunikation
Service 170,SOP,"Assistenz,Empfehlung"
Service 171,SOP,"Analyse,Automatisierung,Kommunikation"
Service 172,Fraunhofer IPA,"Clustering,Empfehlung,Kommunikation"
Service 173,Fraunhofer IPA,Diagnose
Service 174,SOP,"Analyse,Empfehlung"
Service 175,HAW,"Diagnose,Generierung"
Service 176,HAW,"Clustering,Kommunikation,Analyse"
Service 177,Fraunhofer IPA,"Assistenz,Automatisierung"
Service 178,SOP,"Generierung,Analyse,Ueberwachung"
Service 179,SOP,Automatisierung
Service 180,SOP,Empfehlung
Service 181,SOP,"Assistenz,Empfehlung"
Service 182,SOP,"Assistenz,Clustering"
Service 183,SOP,"Automatisierung,Sprachverarbeitung"
Service 184,Fraunhofer IPA,"Ueberwachung,Analyse,Generierung"
Service 185,SOP,"Empfehlung,Mustererkennung,Generierung"
Service 186,SOP,Diagnose
Service 187,HAW,Sprachverarbeitung
Service 188,Fraunhofer IPA,"Generierung,Analyse,Automatisierung"
Service 189,HAW,"Analyse,Ueberwachung"
Service 190,HAW,"Ueberwachung,Automatisierung,Mustererkennung"
Service 191,HAW,Analyse
Service 192,SOP,Generierung
Service 193,HAW,"Generierung,Assistenz,Clustering"
Service 194,SOP,"Diagnose,Empfehlung,Kommunikation"
Service 195,HAW,"Analyse,Automatisierung,Mustererkennung"
Service 196,HAW,Sprachverarbeitung
Service 197,SOP,"Sprachverarbeitung,Kommunikation,Optimierung"
Service 198,HAW,"Mustererkennung,Empfehlung"
Service 199,Fraunhofer IPA,"Sprachverarbeitung,Ueberwachung,Assistenz"
Service 200,Fraunhofer IPA,Clustering
Service 201,SOP,"Empfehlung,Analyse"
Service 202,Fraunhofer IPA,Sprachverarbeitung
Service 203,HAW,"Optimierung,Sprachverarbeitung"
Service 204,Fraunhofer IPA,"Optimierung,Clustering,Automatisierung"
Service 205,Fraunhofer IPA,"Empfehlung,Sprachverarbeitung,Diagnose"
Service 206,HAW,Empfehlung
Service 207,SOP,Sprachverarbeitung
Service 208,HAW,Kommunikation
Service 209,SOP,Sprachverarbeitung
Service 210,Fraunhofer IPA,"Kommunikation,Ueberwachung"
Service 211,SOP,"Assistenz,Clustering"
Service 212,Fraunhofer IPA,Generierung
Service 213,Fraunhofer IPA,"Clustering,Generierung"
Service 214,HAW,"Ueberwachung,Generierung,Kommunikation"
Service 215,HAW,"Diagnose,Sprachverarbeitung,Generierung"
Service 216,HAW,"Analyse,Optimierung"
Service 217,HAW,"Generierung,Automatisierung"
Service 218,Fraunhofer IPA,Mustererkennung
Service 219,Fraunhofer IPA,"Empfehlung,Assistenz"
Service 220,SOP,"Ueberwachung,Generierung,Assistenz"
Service 221,HAW,"Ueberwachung,Empfehlung"
Service 222,HAW,"Clustering,Sprachverarbeitung,Generierung"
Service 223,SOP,Mustererkennung
Service 224,SOP,"Mustererkennung,Assistenz,Diagnose"
Service 225,HAW,Empfehlung
Service 226,HAW,Assistenz
Service 227,Fraunhofer IPA,"Automatisierung,Kommunikation,Mustererkennung"
Service 228,Fraunhofer IPA,"Sprachverarbeitung,Clustering,Empfehlung"
Service 229,Fraunhofer IPA,Clustering
Service 230,HAW,"Sprachverarbeitung,Mustererkennung,Optimierung"
Service 231,SOP,"Sprachverarbeitung,Diagnose"
Service 232,Fraunhofer IPA,Kommunikation
Service 233,HAW,"Diagnose,Automatisierung"
Service 234,SOP,"Automatisierung,Assistenz"
Service 235,SOP,Ueberwachung
Service 236,HAW,"Empfehlung,Ueberwachung,Analyse"
Service 237,HAW,"Generierung,Assistenz"
Service 238,HAW,"Sprachverarbeitung,Ueberwachung,Automatisierung"
Service 239,Fraunhofer IPA,Mustererkennung
Service 240,HAW,"Analyse,Diagnose"
Service 241,Fraunhofer IPA,Optimierung
Service 242,Fraunhofer IPA,Clustering
Service 243,HAW,Diagnose
Service 244,Fraunhofer IPA,"Generierung,Mustererkennung"
Service 245,HAW,"Clustering,Sprachverarbeitung"
Service 246,Fraunhofer IPA,"Generierung,Automatisierung,Optimierung"
Service 247,Fraunhofer IPA,"Empfehlung,Automatisierung"
Service 248,HAW,Empfehlung
Service 249,SOP,"Empfehlung,Mustererkennung,Automatisierung"
Service 250,Fraunhofer IPA,Mustererkennung
Service 251,SOP,Optimierung
Service 252,HAW,"Automatisierung,Sprachverarbeitung,Optimierung"
Service 253,HAW,Generierung
Service 254,Fraunhofer IPA,Kommunikation
Service 255,SOP,"Empfehlung,Kommunikation,Automatisierung"
Service 256,SOP,Analyse
Service 257,HAW,Empfehlung
Service 258,SOP,"Ueberwachung,Sprachverarbeitung,Kommunikation"
Service 259,SOP,"Ueberwachung,Empfehlung"
Service 260,Fraunhofer IPA,"Analyse,Sprachverarbeitung"
Service 261,HAW,Clustering
Service 262,HAW,"Generierung,Ueberwachung,Analyse"
Service 263,HAW,Kommunikation
Service 264,HAW,Mustererkennung
Service 265,Fraunhofer IPA,Diagnose
Service 266,HAW,"Sprachverarbeitung,Clustering,Mustererkennung"
Service 267,HAW,"Ueberwachung,Automatisierung"
Service 268,Fraunhofer IPA,Sprachverarbeitung
Service 269,Fraunhofer IPA,Mustererkennung
Service 270,SOP,"Mustererkennung,Ueberwachung"
Service 271,HAW,Sprachverarbeitung
Service 272,SOP,Clustering
Service 273,Fraunhofer IPA,"Clustering,Mustererkennung"
Service 274,Fraunhofer IPA,Analyse
Service 275,HAW,"Clustering,Diagnose,Mustererkennung"
Service 276,Fraunhofer IPA,"Mustererkennung,Sprachverarbeitung"
Service 277,SOP,"Automatisierung,Mustererkennung,Sprachverarbeitung"
Service 278,SOP,"Assistenz,Ueberwachung"
Service 279,HAW,"Ueberwachung,Mustererkennung,Clustering"
Service 280,HAW,"Mustererkennung,Diagnose,Kommunikation"
Service 281,HAW,"Automatisierung,Diagnose,Generierung"
Service 282,HAW,"Sprachverarbeitung,Automatisierung"
Service 283,SOP,"Ueberwachung,Kommunikation,Assistenz"
Service 284,SOP,"Empfehlung,Generierung"
Service 285,Fraunhofer IPA,Clustering
Service 286,HAW,Kommunikation
Service 287,HAW,Empfehlung
Service 288,HAW,"Assistenz,Kommunikation,Diagnose"
Service 289,SOP,"Sprachverarbeitung,Optimierung"
Service 290,SOP,Mustererkennung
Service 291,Fraunhofer IPA,"Kommunikation,Diagnose,Clustering"
Service 292,SOP,Kommunikation
Service 293,Fraunhofer IPA,Kommunikation
Service 294,SOP,Sprachverarbeitung
Service 295,HAW,"Kommunikation,Diagnose"
Service 296,Fraunhofer IPA,"Assistenz,Optimierung"
Service 297,HAW,"Assistenz,Generierung"
Service 298,SOP,"Analyse,Diagnose,Automatisierung"
Service 299,Fraunhofer IPA,"Mustererkennung,Diagnose,Assistenz"
Service 300,SOP,Clustering
Service 301,SOP,Analyse
Service 302,HAW,"Mustererkennung,Empfehlung"
Service 303,HAW,"Sprachverarbeitung,Mustererkennung"
Service 304,HAW,"Automatisierung,Sprachverarbeitung,Mustererkennung"
Service 305,Fraunhofer IPA,"Empfehlung,Sprachverarbeitung"
Service 306,HAW,"Sprachverarbeitung,Clustering,Analyse"
Service 307,Fraunhofer IPA,Automatisierung
Service 308,HAW,Empfehlung
Service 309,Fraunhofer IPA,Sprachverarbeitung
Service 310,Fraunhofer IPA,Optimierung
Service 311,SOP,"Automatisierung,Generierung,Empfehlung"
Service 312,SOP,"Empfehlung,Mustererkennung"
Service 313,Fraunhofer IPA,"Mustererkennung,Sprachverarbeitung,Optimierung"
Service 314,Fraunhofer IPA,"Diagnose,Clustering,Generierung"
Service 315,Fraunhofer IPA,Kommunikation
Service 316,SOP,"Kommunikation,Empfehlung,Optimierung"
Service 317,SOP,Optimierung
Service 318,SOP,"Sprachverarbeitung,Clustering"
Service 319,SOP,"Sprachverarbeitung,Kommunikation,Diagnose"
Service 320,SOP,"Ueberwachung,Automatisierung"
Service 321,Fraunhofer IPA,"Ueberwachung,Empfehlung,Automatisierung"
Service 322,HAW,"Diagnose,Clustering,Analyse"
Service 323,HAW,Optimierung
Service 324,SOP,Clustering
Service 325,Fraunhofer IPA,"Analyse,Automatisierung,Diagnose"
Service 326,SOP,"Analyse,Sprachverarbeitung"
Service 327,SOP,"Kommunikation,Diagnose"
Service 328,HAW,Analyse
Service 329,Fraunhofer IPA,"Diagnose,Clustering"
Service 330,HAW,Kommunikation
Service 331,Fraunhofer IPA,"Automatisierung,Assistenz"
Service 332,Fraunhofer IPA,"Empfehlung,Sprachverarbeitung"
Service 333,SOP,"Generierung,Automatisierung,Optimierung"
Service 334,SOP,"Kommunikation,Mustererkennung,Assistenz"
Service 335,Fraunhofer IPA,Assistenz
Service 336,HAW,Empfehlung
Service 337,SOP,"Optimierung,Mustererkennung"
Service 338,Fraunhofer IPA,Generierung
Service 339,Fraunhofer IPA,Kommunikation
Service 340,SOP,"Analyse,Generierung"
Service 341,HAW,"Ueberwachung,Assistenz"
Service 342,HAW,Mustererkennung
Service 343,SOP,"Generierung,Automatisierung,Optimierung"
Service 344,SOP,"Ueberwachung,Mustererkennung"
Service 345,HAW,"Diagnose,Optimierung"
Service 346,SOP,Assistenz
Service 347,Fraunhofer IPA,Analyse
Service 348,Fraunhofer IPA,"Empfehlung,Sprachverarbeitung,Ueberwachung"
Service 349,SOP,Generierung
Service 350,HAW,"Analyse,Ueberwachung"
Service 351,HAW,"Diagnose,Automatisierung,Ueberwachung"
Service 352,SOP,"Empfehlung,Kommunikation,Sprachverarbeitung"
Service 353,HAW,Mustererkennung
Service 354,SOP,"Sprachverarbeitung,Analyse,Generierung"
Service 355,SOP,"Mustererkennung,Ueberwachung"
Service 356,Fraunhofer IPA,"Assistenz,Optimierung"
Service 357,Fraunhofer IPA,"Ueberwachung,Clustering"
Service 358,HAW,Empfehlung
Service 359,Fraunhofer IPA,"Analyse,Diagnose"
Service 360,HAW,"Empfehlung,Ueberwachung"
Service 361,HAW,"Analyse,Generierung"
Service 362,SOP,Empfehlung
Service 363,HAW,Clustering
Service 364,Fraunhofer IPA,"Optimierung,Ueberwachung"
Service 365,HAW,"Generierung,Optimierung"
Service 366,Fraunhofer IPA,"Mustererkennung,Analyse"
Service 367,Fraunhofer IPA,Sprachverarbeitung
Service 368,Fraunhofer IPA,"Diagnose,Generierung,Sprachverarbeitung"
Service 369,SOP,"Generierung,Ueberwachung"
Service 370,SOP,"Kommunikation,Assistenz"
Service 371,HAW,"Ueberwachung,Automatisierung,Mustererkennung"
Service 372,HAW,"Mustererkennung,Clustering"
Service 373,HAW,"Clustering,Mustererkennung,Assistenz"
Service 374,HAW,"Empfehlung,Analyse,Kommunikation"
Service 375,HAW,"Empfehlung,Sprachverarbeitung"
Service 376,HAW,Generierung
Service 377,SOP,"Assistenz,Analyse"
Service 378,HAW,"Assistenz,Empfehlung"
Service 379,SOP,"Diagnose,Empfehlung"
Service 380,HAW,"Ueberwachung,Empfehlung,Analyse"
Service 381,SOP,"Mustererkennung,Empfehlung"
Service 382,Fraunhofer IPA,"Mustererkennung,Empfehlung"
Service 383,SOP,"Generierung,Clustering"
Service 384,HAW,Automatisierung
Service 385,SOP,"Clustering,Assistenz,Ueberwachung"
Service 386,SOP,"Automatisierung,Sprachverarbeitung,Assistenz"
Service 387,HAW,"Automatisierung,Diagnose"
Service 388,SOP,"Assistenz,Diagnose,Optimierung"
Service 389,SOP,"Mustererkennung,Assistenz,Ueberwachung"
Service 390,HAW,"Diagnose,Sprachverarbeitung"
Service 391,HAW,Generierung
Service 392,HAW,"Ueberwachung,Automatisierung,Analyse"
Service 393,SOP,"Sprachverarbeitung,Automatisierung"
Service 394,SOP,"Optimierung,Kommunikation,Automatisierung"
Service 395,SOP,Clustering
Service 396,HAW,"Diagnose,Empfehlung,Optimierung"
Service 397,HAW,Automatisierung
Service 398,Fraunhofer IPA,Optimierung
Service 399,SOP,"Kommunikation,Generierung,Optimierung"
Service 400,HAW,"Optimierung,Sprachverarbeitung,Clustering"
Service 401,HAW,Kommunikation
Service 402,SOP,Generierung
Service 403,HAW,"Diagnose,Optimierung,Analyse"
Service 404,Fraunhofer IPA,"Sprachverarbeitung,Ueberwachung,Analyse"
Service 405,Fraunhofer IPA,Analyse
Service 406,HAW,Diagnose
Service 407,SOP,Generierung
Service 408,SOP,"Sprachverarbeitung,Generierung,Diagnose"
Service 409,Fraunhofer IPA,Clustering
Service 410,Fraunhofer IPA,"Diagnose,Assistenz,Ueberwachung"
Service 411,Fraunhofer IPA,"Analyse,Diagnose"
Service 412,Fraunhofer IPA,Clustering
Service 413,Fraunhofer IPA,"Diagnose,Empfehlung,Kommunikation"
Service 414,HAW,"Empfehlung,Clustering,Diagnose"
Service 415,SOP,"Empfehlung,Ueberwachung"
Service 416,Fraunhofer IPA,"Ueberwachung,Diagnose"
Service 417,Fraunhofer IPA,Automatisierung
Service 418,Fraunhofer IPA,"Kommunikation,Analyse,Optimierung"
Service 419,Fraunhofer IPA,"Sprachverarbeitung,Analyse"
Service 420,HAW,"Empfehlung,Analyse,Automatisierung"
Service 421,HAW,"Ueberwachung,Kommunikation,Diagnose"
Service 422,Fraunhofer IPA,Clustering
Service 423,SOP,"Automatisierung,Kommunikation,Optimierung"
Service 424,HAW,"Generierung,Assistenz,Sprachverarbeitung"
Service 425,Fraunhofer IPA,Generierung
Service 426,Fraunhofer IPA,Kommunikation
Service 427,Fraunhofer IPA,"Analyse,Sprachverarbeitung,Optimierung"
Service 428,SOP,Clustering
Service 429,SOP,Analyse
Service 430,SOP,Analyse
Service 431,Fraunhofer IPA,Mustererkennung
Service 432,HAW,Empfehlung
Service 433,Fraunhofer IPA,"Optimierung,Diagnose"
Service 434,Fraunhofer IPA,"Kommunikation,Generierung"
Service 435,SOP,"Optimierung,Sprachverarbeitung"
Service 436,HAW,Assistenz
Service 437,SOP,Kommunikation
Service 438,SOP,"Assistenz,Clustering,Automatisierung"
Service 439,HAW,"Automatisierung,Optimierung,Ueberwachung"
Service 440,HAW,"Assistenz,Generierung,Diagnose"
Service 441,SOP,Ueberwachung
Service 442,Fraunhofer IPA,"Empfehlung,Analyse,Generierung"
Service 443,HAW,Kommunikation
Service 444,HAW,Generierung
Service 445,HAW,Ueberwachung
Service 446,HAW,"Mustererkennung,Sprachverarbeitung"
Service 447,SOP,"Automatisierung,Diagnose,Optimierung"
Service 448,HAW,"Clustering,Generierung,Ueberwachung"
Service 449,Fraunhofer IPA,"Empfehlung,Automatisierung,Kommunikation"
Service 450,HAW,"Kommunikation,Sprachverarbeitung,Generierung"
Service 451,HAW,Ueberwachung
Service 452,SOP,"Ueberwachung,Optimierung,Mustererkennung"
Service 453,SOP,"Automatisierung,Generierung,Clustering"
Service 454,HAW,"Ueberwachung,Optimierung"
Service 455,HAW,Kommunikation
Service 456,HAW,Generierung
Service 457,SOP,"Empfehlung,Analyse"
Service 458,Fraunhofer IPA,Mustererkennung
Service 459,SOP,"Kommunikation,Ueberwachung"
Service 460,SOP,"Automatisierung,Ueberwachung,Sprachverarbeitung"
Service 461,Fraunhofer IPA,Analyse
Service 462,Fraunhofer IPA,"Generierung,Ueberwachung,Assistenz"
Service 463,SOP,"Sprachverarbeitung,Kommunikation,Diagnose"
Service 464,SOP,"Sprachverarbeitung,Optimierung,Generierung"
Service 465,HAW,Diagnose
Service 466,SOP,"Ueberwachung,Optimierung,Sprachverarbeitung"
Service 467,SOP,Sprachverarbeitung
Service 468,HAW,Sprachverarbeitung
Service 469,Fraunhofer IPA,"Kommunikation,Mustererkennung,Sprachverarbeitung"
Service 470,HAW,Mustererkennung
Service 471,SOP,Kommunikation
Service 472,Fraunhofer IPA,Optimierung
Service 473,SOP,"Diagnose,Generierung,Optimierung"
Service 474,SOP,"Mustererkennung,Ueberwachung,Sprachverarbeitung"
Service 475,Fraunhofer IPA,"Empfehlung,Analyse,Ueberwachung"
Service 476,Fraunhofer IPA,"Empfehlung,Automatisierung,Kommunikation"
Service 477,Fraunhofer IPA,"Ueberwachung,Empfehlung"
Service 478,SOP,Automatisierung
Service 479,SOP,Clustering
Service 480,SOP,"Empfehlung,Mustererkennung,Kommunikation"
Service 481,Fraunhofer IPA,"Mustererkennung,Kommunikation"
Service 482,HAW,"Analyse,Generierung,Kommunikation"
Service 483,SOP,"Kommunikation,Automatisierung"
Service 484,SOP,"Sprachverarbeitung,Ueberwachung"
Service 485,Fraunhofer IPA,Diagnose
Service 486,HAW,Ueberwachung
Service 487,Fraunhofer IPA,"Optimierung,Mustererkennung"
Service 488,Fraunhofer IPA,"Kommunikation,Optimierung"
Service 489,SOP,"Kommunikation,Assistenz"
Service 490,SOP,"Mustererkennung,Generierung,Assistenz"
Service 491,HAW,"Clustering,Automatisierung"
Service 492,HAW,"Automatisierung,Diagnose,Clustering"
Service 493,HAW,"Diagnose,Assistenz,Mustererkennung"
Service 494,HAW,"Ueberwachung,Assistenz"
Service 495,SOP,Kommunikation
Service 496,HAW,"Automatisierung,Ueberwachung,Optimierung"
Service 497,SOP,"Optimierung,Kommunikation"
Service 498,HAW,"Sprachverarbeitung,Assistenz,Mustererkennung"
Service 499,SOP,"Analyse,Optimierung"
Service 500,HAW,Mustererkennung
Service 501,Fraunhofer IPA,"Sprachverarbeitung,Mustererkennung,Clustering"
Service 502,HAW,Generierung
Service 503,Fraunhofer IPA,"Clustering,Empfehlung,Optimierung"
Service 504,HAW,"Assistenz,Diagnose,Optimierung"
Service 505,SOP,"Diagnose,Optimierung,Automatisierung"
Service 506,SOP,"Sprachverarbeitung,Clustering"
Service 507,SOP,"Ueberwachung,Empfehlung"
Service 508,HAW,Optimierung
Service 509,Fraunhofer IPA,"Generierung,Analyse,Kommunikation"
Service 510,HAW,"Assistenz,Diagnose,Optimierung"
Service 511,SOP,Assistenz
Service 512,HAW,"Kommunikation,Clustering"
Service 513,Fraunhofer IPA,"Clustering,Mustererkennung"
Service 514,Fraunhofer IPA,Automatisierung
Service 515,HAW,"Empfehlung,Sprachverarbeitung"
Service 516,HAW,Optimierung
Service 517,Fraunhofer IPA,Optimierung
Service 518,Fraunhofer IPA,"Automatisierung,Sprachverarbeitung,Optimierung"
Service 519,SOP,Generierung
Service 520,Fraunhofer IPA,"Generierung,Optimierung,Clustering"
Service 521,Fraunhofer IPA,"Ueberwachung,Generierung,Assistenz"
Service 522,SOP,Ueberwachung
Service 523,HAW,"Empfehlung,Clustering,Assistenz"
Service 524,Fraunhofer IPA,Ueberwachung
Service 525,Fraunhofer IPA,Ueberwachung
Service 526,HAW,Ueberwachung
Service 527,Fraunhofer IPA,Mustererkennung
Service 528,HAW,"Clustering,Optimierung"
Service 529,HAW,"Assistenz,Analyse,Clustering"
Service 530,Fraunhofer IPA,"Optimierung,Mustererkennung"
Service 531,SOP,"Diagnose,Empfehlung"
Service 532,SOP,"Kommunikation,Automatisierung,Ueberwachung"
Service 533,SOP,"Empfehlung,Ueberwachung"
Service 534,HAW,"Optimierung,Ueberwachung"
Service 535,Fraunhofer IPA,"Analyse,Automatisierung"
