Name,Typ,DurchsatzProStunde,Werkstoff,Werkzeuge,Bearbeitungsart
Maschine 89,Drehmaschine,596,"Stein,Metall","Prismenfräser,Bohrer",Drehen
Maschine 90,Verpackungsmaschine,6048,Kunststoff,Foerderband,Biegen
Maschine 91,CNC-Fräse,7275,"Holz,Metall","Walzfräser,Prismenfräser,Bohrer","Schleifen,Fräsen,Schneiden"
Maschine 92,Laserschneidmaschine,3070,Metall,Heizelement,"Stanzen,Schneiden"
Maschine 93,Lackiermaschine,491,"Holz,Kunststoff",Lackierpistole,Lackieren
Maschine 94,Lackiermaschine,4516,"Kunststoff,Glas",Lackierpistole,Lackieren
Maschine 95,Lackiermaschine,131,"Kunststoff,Glas,Metall",Lackierpistole,Lackieren
Maschine 96,Presse,9107,"Metall,Kunststoff,Holz",Messer,Stanzen
Maschine 97,Verpackungsmaschine,6700,Papier,Foerderband,Transportieren
Maschine 98,Drehmaschine,7058,"Kunststoff,Metall,Holz","Bohrer,Prismenfräser,Walzfräser",Drehen
Maschine 99,Wasserstrahlschneidmaschine,6487,Metall,Wasserstrahl,Schneiden
Maschine 100,Roboterarm,4987,"Beton,Textil","Schleifpapier,Elektrode,Wasserstrahl",Schleifen
Maschine 101,Wasserstrahlschneidmaschine,4093,Kunststoff,Wasserstrahl,Schneiden
Maschine 102,Lackiermaschine,7395,Stein,Lackierpistole,Lackieren
Maschine 103,FTS,1840,"Verbundwerkstoff,Glas,Keramik",Greifer,Transportieren
Maschine 104,Spritzgussmaschine,7827,Metall,Duese,Giessen
Maschine 105,Lackiermaschine,7232,Glas,Lackierpistole,Lackieren
Maschine 106,3D-Drucker,1162,Kunststoff,Greifer,3D-Drucken
Maschine 107,FTS,4600,"Kunststoff,Textil,Glas",Greifer,Transportieren
Maschine 108,Spritzgussmaschine,1217,Metall,Duese,Giessen
Maschine 109,Schleifmaschine,1455,Holz,Schleifpapier,Schleifen
Maschine 110,Druckmaschine,270,Holz,"Lackierpistole,Heizelement,Laser",Lackieren
Maschine 111,Druckmaschine,2503,Textil,"Lackierpistole,Tintenstrahl",Drucken
Maschine 112,Presse,3963,"Holz,Kunststoff,Metall",Messer,Pressen
Maschine 113,Druckmaschine,8177,"Holz,Textil","Lackierpistole,Tintenstrahl",Drucken
Maschine 114,Wasserstrahlschneidmaschine,1016,"Glas,Holz,Stein",Wasserstrahl,Schneiden
Maschine 115,CNC-Fräse,4321,Metall,"Prismenfräser,Bohrer","Drehen,Fräsen"
Maschine 116,Schleifmaschine,6421,"Kunststoff,Holz,Metall",Schleifpapier,Schleifen
Maschine 117,Druckmaschine,8858,"Textil,Keramik,Papier",Laser,Drucken
Maschine 118,Laserschneidmaschine,7148,"Verbundwerkstoff,Glas,Kunststoff",Laser,"Stanzen,Fräsen,Bohren"
Maschine 119,FTS,4434,"Keramik,Textil",Greifer,Transportieren
Maschine 120,FTS,8543,"Kunststoff,Holz",Greifer,Transportieren
Maschine 121,Schleifmaschine,7311,"Kunststoff,Stein",Schleifpapier,Schleifen
Maschine 122,Presse,6836,Metall,Messer,Pressen
Maschine 123,CNC-Fräse,7068,"Metall,Kunststoff","Bohrer,Walzfräser,Prismenfräser","Drehen,Schneiden"
Maschine 124,Spritzgussmaschine,4911,Metall,Duese,Giessen
Maschine 125,Verpackungsmaschine,9929,Papier,Foerderband,Transportieren
Maschine 126,Wasserstrahlschneidmaschine,5741,Beton,Wasserstrahl,Schneiden
Maschine 127,FTS,666,Papier,Greifer,Transportieren
Maschine 128,CNC-Fräse,1003,"Holz,Metall,Kunststoff","Prismenfräser,Bohrer","Schleifen,Drehen"
Maschine 129,CNC-Fräse,9184,"Stein,Holz,Kunststoff","Bohrer,Walzfräser",Schneiden
Maschine 130,Druckmaschine,3968,"Holz,Keramik",Lackierpistole,Drucken
Maschine 131,Schleifmaschine,9459,Holz,Schleifpapier,Schleifen
Maschine 132,Roboterarm,8377,"Glas,Metall","Wasserstrahl,Elektrode,Lackierpistole","Schweißen,Drehen"
Maschine 133,3D-Drucker,8460,Kunststoff,Greifer,3D-Drucken
Maschine 134,Verpackungsmaschine,2232,Kunststoff,Foerderband,Transportieren
Maschine 135,3D-Drucker,457,Metall,Duese,3D-Drucken
Maschine 136,Laserschneidmaschine,4944,Verbundwerkstoff,Heizelement,"Schneiden,Stanzen,Fräsen"
Maschine 137,Drehmaschine,2781,"Kunststoff,Stein,Holz","Prismenfräser,Messer,Bohrer",Drehen
Maschine 138,Roboterarm,1676,Holz,"Elektrode,Lackierpistole,Wasserstrahl",Bohren
Maschine 139,CNC-Fräse,4337,"Kunststoff,Metall","Walzfräser,Prismenfräser,Bohrer",Drehen
Maschine 140,Spritzgussmaschine,5973,Metall,Duese,Giessen
Maschine 141,Spritzgussmaschine,1362,Metall,Duese,Giessen
Maschine 142,Schleifmaschine,8296,"Stein,Holz,Kunststoff",Schleifpapier,Schleifen
Maschine 143,Schleifmaschine,471,Metall,Schleifpapier,Schleifen
Maschine 144,Roboterarm,4151,Textil,"Schleifpapier,Greifer","3D-Drucken,Schweißen"
Maschine 145,Laserschneidmaschine,9041,"Kunststoff,Holz,Glas",Laser,"Stanzen,Schneiden"
Maschine 146,Laserschneidmaschine,7148,Verbundwerkstoff,Laser,"Bohren,Schneiden"
Maschine 147,Schleifmaschine,6464,"Metall,Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 148,Verpackungsmaschine,8633,Kunststoff,Foerderband,Transportieren
Maschine 149,CNC-Fräse,1440,"Stein,Kunststoff","Prismenfräser,Bohrer,Walzfräser","Drehen,Schleifen"
Maschine 150,Lackiermaschine,3213,"Verbundwerkstoff,Stein,Kunststoff",Lackierpistole,Lackieren
Maschine 151,3D-Drucker,4044,Kunststoff,Greifer,3D-Drucken
Maschine 152,CNC-Fräse,6728,"Holz,Metall",Walzfräser,"Schleifen,Drehen,Drehen"
Maschine 153,Roboterarm,3657,Holz,"Wolframelektrode,Elektrode,Lackierpistole",Drehen
Maschine 154,3D-Drucker,5189,Metall,Duese,3D-Drucken
Maschine 155,Roboterarm,6037,"Holz,Gummi","Schleifpapier,Bohrer","Transportieren,Biegen,Drehen"
Maschine 156,Roboterarm,1393,Metall,Bohrer,"Fräsen,Biegen,Schneiden"
Maschine 157,Wasserstrahlschneidmaschine,6584,"Beton,Glas,Verbundwerkstoff",Wasserstrahl,Schneiden
Maschine 158,Laserschneidmaschine,2716,"Stein,Verbundwerkstoff,Metall",Laser,Stanzen
Maschine 159,Druckmaschine,7369,"Textil,Papier","Lackierpistole,Tintenstrahl,Heizelement",Lackieren
Maschine 160,Verpackungsmaschine,8630,Papier,Foerderband,Biegen
Maschine 161,Roboterarm,4900,"Stein,Kunststoff",Elektrode,Fräsen
Maschine 162,Wasserstrahlschneidmaschine,213,"Verbundwerkstoff,Beton,Glas",Wasserstrahl,Schneiden
Maschine 163,FTS,4330,Verbundwerkstoff,Greifer,Transportieren
Maschine 164,Presse,9173,"Kunststoff,Holz",Messer,Stanzen
Maschine 165,Roboterarm,1754,"Papier,Keramik","Messer,Elektrode","Bohren,3D-Drucken"
Maschine 166,Lackiermaschine,5625,"Metall,Holz",Lackierpistole,Lackieren
Maschine 167,Roboterarm,4959,"Verbundwerkstoff,Metall","Messer,Greifer,Schleifpapier","Schneiden,Transportieren,Fräsen"
Maschine 168,Spritzgussmaschine,4967,Metall,Duese,Giessen
Maschine 169,Drehmaschine,8903,Holz,Walzfräser,Drehen
Maschine 170,CNC-Fräse,4434,"Kunststoff,Holz,Stein","Walzfräser,Bohrer",Schneiden
Maschine 171,Druckmaschine,6034,"Holz,Textil","Lackierpistole,Tintenstrahl",Lackieren
Maschine 172,FTS,8518,Papier,Greifer,Transportieren
Maschine 173,FTS,3519,"Textil,Holz",Greifer,Transportieren
Maschine 174,3D-Drucker,7849,Kunststoff,Greifer,3D-Drucken
Maschine 175,FTS,1539,"Verbundwerkstoff,Holz,Kunststoff",Greifer,Transportieren
Maschine 176,Lackiermaschine,1663,"Holz,Verbundwerkstoff,Stein",Lackierpistole,Lackieren
Maschine 177,Spritzgussmaschine,168,Metall,Duese,Giessen
Maschine 178,3D-Drucker,1916,Kunststoff,Duese,3D-Drucken
Maschine 179,Roboterarm,1902,"Metall,Papier",Elektrode,"Fräsen,Schneiden"
Maschine 180,CNC-Fräse,1297,Holz,"Walzfräser,Bohrer","Schleifen,Schneiden,Drehen"
Maschine 181,Wasserstrahlschneidmaschine,8257,Metall,Wasserstrahl,Schneiden
Maschine 182,Druckmaschine,5777,"Textil,Keramik",Laser,Lackieren
Maschine 183,Spritzgussmaschine,9143,Metall,Duese,Giessen
Maschine 184,3D-Drucker,4387,Metall,Duese,3D-Drucken
Maschine 185,Laserschneidmaschine,2272,"Glas,Kunststoff",Heizelement,Bohren
Maschine 186,Presse,3038,"Metall,Kunststoff",Messer,Stanzen
Maschine 187,Roboterarm,2999,"Gummi,Keramik,Holz","Wolframelektrode,Wasserstrahl","Drehen,3D-Drucken,Transportieren"
Maschine 188,Laserschneidmaschine,7434,"Stein,Kunststoff",Laser,"Stanzen,Fräsen,Bohren"
Maschine 189,Roboterarm,1175,"Holz,Beton","Greifer,Wolframelektrode","Schweißen,Schleifen"
Maschine 190,Lackiermaschine,4143,"Holz,Stein,Metall",Lackierpistole,Lackieren
Maschine 191,CNC-Fräse,3917,"Metall,Kunststoff,Holz","Walzfräser,Bohrer,Prismenfräser","Fräsen,Schneiden"
Maschine 192,3D-Drucker,4644,Kunststoff,Duese,3D-Drucken
Maschine 193,FTS,1720,"Glas,Papier,Stein",Greifer,Transportieren
Maschine 194,CNC-Fräse,4280,Stein,"Bohrer,Prismenfräser,Walzfräser","Schneiden,Drehen,Schleifen"
Maschine 195,Schleifmaschine,1697,"Stein,Metall,Kunststoff",Schleifpapier,Schleifen
Maschine 196,Lackiermaschine,2710,"Stein,Verbundwerkstoff,Kunststoff",Lackierpistole,Lackieren
Maschine 197,CNC-Fräse,2006,"Kunststoff,Holz",Walzfräser,Drehen
Maschine 198,Lackiermaschine,7372,"Holz,Kunststoff",Lackierpistole,Lackieren
Maschine 199,Spritzgussmaschine,4154,Metall,Duese,Giessen
Maschine 200,Laserschneidmaschine,5227,Verbundwerkstoff,Heizelement,"Fräsen,Stanzen"
Maschine 201,Lackiermaschine,5840,Metall,Lackierpistole,Lackieren
Maschine 202,Laserschneidmaschine,6210,Holz,Laser,"Fräsen,Bohren"
Maschine 203,Wasserstrahlschneidmaschine,9213,"Holz,Verbundwerkstoff",Wasserstrahl,Schneiden
Maschine 204,CNC-Fräse,5032,"Holz,Metall","Bohrer,Prismenfräser,Walzfräser","Schneiden,Fräsen"
Maschine 205,Lackiermaschine,1690,"Kunststoff,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 206,Druckmaschine,6574,"Papier,Keramik","Tintenstrahl,Heizelement",Lackieren
Maschine 207,Drehmaschine,4426,"Metall,Stein,Holz",Bohrer,Drehen
Maschine 208,Roboterarm,5018,"Stein,Metall,Glas","Bohrer,Greifer","Fräsen,Biegen,3D-Drucken"
Maschine 209,Lackiermaschine,1804,"Stein,Metall",Lackierpistole,Lackieren
Maschine 210,Lackiermaschine,872,"Verbundwerkstoff,Stein,Glas",Lackierpistole,Lackieren
Maschine 211,Roboterarm,4236,"Gummi,Kunststoff","Lackierpistole,Bohrer",Schneiden
Maschine 212,FTS,2337,"Glas,Keramik",Greifer,Transportieren
Maschine 213,Verpackungsmaschine,4757,Kunststoff,Foerderband,Biegen
Maschine 214,Wasserstrahlschneidmaschine,6635,"Glas,Kunststoff",Wasserstrahl,Schneiden
Maschine 215,Laserschneidmaschine,15,Kunststoff,Laser,Fräsen
Maschine 216,CNC-Fräse,692,"Stein,Kunststoff,Holz","Walzfräser,Prismenfräser,Bohrer",Fräsen
Maschine 217,Schleifmaschine,7845,"Stein,Metall,Kunststoff",Schleifpapier,Schleifen
Maschine 218,Presse,8140,Kunststoff,Messer,Stanzen
Maschine 219,Roboterarm,261,Glas,"Messer,Wolframelektrode,Lackierpistole",3D-Drucken
Maschine 220,Drehmaschine,2646,Kunststoff,"Messer,Bohrer",Drehen
Maschine 221,Wasserstrahlschneidmaschine,8308,Beton,Wasserstrahl,Schneiden
Maschine 222,Laserschneidmaschine,6965,Holz,Heizelement,Schneiden
Maschine 223,Roboterarm,6538,"Holz,Papier",Elektrode,"Schleifen,Transportieren,Biegen"
Maschine 224,Drehmaschine,1553,Kunststoff,"Bohrer,Prismenfräser,Walzfräser",Drehen
Maschine 225,Schleifmaschine,9070,"Metall,Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 226,Lackiermaschine,195,"Glas,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 227,Presse,1150,"Kunststoff,Holz",Messer,Stanzen
Maschine 228,Spritzgussmaschine,5781,Metall,Duese,Giessen
Maschine 229,CNC-Fräse,9268,"Kunststoff,Metall",Walzfräser,Schleifen
Maschine 230,Drehmaschine,9866,"Holz,Metall",Prismenfräser,Drehen
Maschine 231,Lackiermaschine,2884,Verbundwerkstoff,Lackierpistole,Lackieren
Maschine 232,3D-Drucker,9733,Kunststoff,Duese,3D-Drucken
Maschine 233,Druckmaschine,4512,Keramik,"Laser,Lackierpistole",Drucken
Maschine 234,Laserschneidmaschine,7303,"Metall,Verbundwerkstoff",Laser,"Fräsen,Stanzen,Schneiden"
Maschine 235,Wasserstrahlschneidmaschine,2904,"Kunststoff,Keramik",Wasserstrahl,Schneiden
Maschine 236,CNC-Fräse,2109,Holz,"Walzfräser,Prismenfräser,Bohrer","Schleifen,Fräsen,Drehen"
Maschine 237,Lackiermaschine,7641,"Holz,Glas,Metall",Lackierpistole,Lackieren
Maschine 238,Druckmaschine,2760,"Holz,Papier,Keramik",Heizelement,Lackieren
Maschine 239,Spritzgussmaschine,6360,Metall,Duese,Giessen
Maschine 240,Laserschneidmaschine,9701,Verbundwerkstoff,Laser,Fräsen
Maschine 241,CNC-Fräse,8023,Holz,"Bohrer,Walzfräser,Prismenfräser",Drehen
Maschine 242,Presse,6847,"Metall,Kunststoff,Holz",Messer,Pressen
Maschine 243,Drehmaschine,2772,"Metall,Holz","Messer,Walzfräser",Drehen
Maschine 244,Verpackungsmaschine,6571,Kunststoff,Foerderband,Biegen
Maschine 245,Drehmaschine,302,Kunststoff,"Bohrer,Messer",Drehen
Maschine 246,Lackiermaschine,2808,Metall,Lackierpistole,Lackieren
Maschine 247,Roboterarm,4814,"Keramik,Verbundwerkstoff,Beton","Messer,Wasserstrahl","Fräsen,Schweißen,3D-Drucken"
Maschine 248,Presse,1482,"Metall,Holz,Kunststoff",Messer,Pressen
Maschine 249,Wasserstrahlschneidmaschine,2816,"Holz,Keramik,Beton",Wasserstrahl,Schneiden
Maschine 250,FTS,2414,"Verbundwerkstoff,Keramik,Kunststoff",Greifer,Transportieren
Maschine 251,Wasserstrahlschneidmaschine,8551,"Metall,Keramik,Stein",Wasserstrahl,Schneiden
Maschine 252,Drehmaschine,1332,Kunststoff,"Walzfräser,Messer,Bohrer",Drehen
Maschine 253,Druckmaschine,5422,"Papier,Textil,Holz","Tintenstrahl,Heizelement,Lackierpistole",Lackieren
Maschine 254,Spritzgussmaschine,1932,Metall,Duese,Giessen
Maschine 255,Druckmaschine,6012,"Keramik,Papier","Tintenstrahl,Lackierpistole",Lackieren
Maschine 256,Wasserstrahlschneidmaschine,113,"Verbundwerkstoff,Stein",Wasserstrahl,Schneiden
Maschine 257,CNC-Fräse,4481,"Kunststoff,Metall","Bohrer,Walzfräser,Prismenfräser","Schneiden,Drehen"
Maschine 258,Verpackungsmaschine,4521,Papier,Foerderband,Biegen
Maschine 259,Schleifmaschine,9081,Kunststoff,Schleifpapier,Schleifen
Maschine 260,Drehmaschine,1142,Stein,"Prismenfräser,Messer,Bohrer",Drehen
Maschine 261,CNC-Fräse,9485,Metall,"Prismenfräser,Walzfräser,Bohrer",Fräsen
Maschine 262,Druckmaschine,5732,"Keramik,Textil",Heizelement,Drucken
Maschine 263,Laserschneidmaschine,3000,"Stein,Holz",Laser,"Schneiden,Stanzen"
Maschine 264,Laserschneidmaschine,7570,Stein,Laser,Schneiden
Maschine 265,Lackiermaschine,7952,Metall,Lackierpistole,Lackieren
Maschine 266,FTS,9862,"Papier,Beton,Metall",Greifer,Transportieren
Maschine 267,CNC-Fräse,3801,"Holz,Stein","Bohrer,Walzfräser","Schneiden,Drehen,Drehen"
Maschine 268,CNC-Fräse,6748,"Kunststoff,Metall",Walzfräser,Schneiden
Maschine 269,Verpackungsmaschine,3586,Kunststoff,Foerderband,Biegen
Maschine 270,Drehmaschine,2465,Stein,"Prismenfräser,Walzfräser",Drehen
Maschine 271,FTS,3470,"Textil,Stein,Metall",Greifer,Transportieren
Maschine 272,Lackiermaschine,8759,"Stein,Kunststoff",Lackierpistole,Lackieren
Maschine 273,Roboterarm,6887,"Gummi,Beton,Keramik","Wolframelektrode,Lackierpistole","Schneiden,Transportieren,Drehen"
Maschine 274,3D-Drucker,1336,Metall,Greifer,3D-Drucken
Maschine 275,Laserschneidmaschine,950,"Holz,Verbundwerkstoff,Glas",Heizelement,Bohren
Maschine 276,3D-Drucker,5114,Kunststoff,Greifer,3D-Drucken
Maschine 277,Drehmaschine,3157,"Holz,Metall,Stein","Bohrer,Messer,Prismenfräser",Drehen
Maschine 278,Roboterarm,4930,Stein,Greifer,"Transportieren,Lackieren"
Maschine 279,3D-Drucker,3950,Metall,Greifer,3D-Drucken
Maschine 280,Presse,6465,Metall,Messer,Pressen
Maschine 281,Verpackungsmaschine,1491,Kunststoff,Foerderband,Transportieren
Maschine 282,FTS,3099,"Stein,Papier",Greifer,Transportieren
Maschine 283,Drehmaschine,7437,Kunststoff,"Prismenfräser,Messer",Drehen
Maschine 284,Laserschneidmaschine,3007,"Verbundwerkstoff,Holz",Laser,"Schneiden,Fräsen,Stanzen"
Maschine 285,3D-Drucker,5897,Metall,Duese,3D-Drucken
Maschine 286,Spritzgussmaschine,3403,Metall,Duese,Giessen
Maschine 287,Drehmaschine,6221,"Holz,Stein",Bohrer,Drehen
Maschine 288,3D-Drucker,329,Metall,Duese,3D-Drucken
Maschine 289,CNC-Fräse,8297,Stein,"Prismenfräser,Walzfräser,Bohrer","Schleifen,Fräsen"
Maschine 290,Druckmaschine,9448,Textil,Lackierpistole,Drucken
Maschine 291,Presse,7561,"Holz,Metall,Kunststoff",Messer,Stanzen
Maschine 292,Schleifmaschine,9093,Metall,Schleifpapier,Schleifen
Maschine 293,Schleifmaschine,8496,"Holz,Metall",Schleifpapier,Schleifen
Maschine 294,Schleifmaschine,3564,Kunststoff,Schleifpapier,Schleifen
Maschine 295,CNC-Fräse,5919,Metall,"Bohrer,Prismenfräser","Schneiden,Fräsen,Schleifen"
Maschine 296,Verpackungsmaschine,7742,Kunststoff,Foerderband,Biegen
Maschine 297,Verpackungsmaschine,3016,Papier,Foerderband,Biegen
Maschine 298,FTS,3090,Textil,Greifer,Transportieren
Maschine 299,FTS,9197,"Verbundwerkstoff,Holz",Greifer,Transportieren
Maschine 300,Laserschneidmaschine,1826,Verbundwerkstoff,Laser,"Stanzen,Schneiden,Fräsen"
Maschine 301,Lackiermaschine,1564,"Kunststoff,Verbundwerkstoff",Lackierpistole,Lackieren
Maschine 302,Drehmaschine,9359,Holz,Bohrer,Drehen
Maschine 303,Drehmaschine,6023,"Metall,Stein,Kunststoff",Prismenfräser,Drehen
Maschine 304,Wasserstrahlschneidmaschine,1575,Verbundwerkstoff,Wasserstrahl,Schneiden
Maschine 305,Presse,7286,Holz,Messer,Pressen
Maschine 306,Laserschneidmaschine,8710,"Kunststoff,Glas",Laser,"Schneiden,Stanzen,Fräsen"
Maschine 307,Lackiermaschine,9298,"Verbundwerkstoff,Kunststoff",Lackierpistole,Lackieren
